function,epsilon,lsb_in,msb_out,lsb_out,LUTs,FFs,DSPs,BRAMs,avg_error,errors
log(x+0.1)/log(2),0.1,-3,2,-3,3,0,0,0.0,0.030849439800720482,"0.053071905113,0.027003093445,0.014573172830,0.050999418556,0.013034405834,0.036052900240,0.015534746363,0.036525876025"
log(x+0.01)/log(2),0.01,-3,3,-3,3,0,0,0.0,0.027799753256795946,"0.018856189775,0.013968687611,0.056583528366,0.002069649080,0.028569152197,0.030171503003,0.020928676331,0.051250639692"
log(x+0.001)/log(2),0.001,-3,4,-3,3,0,0,0.0,0.029803995599796136,"0.034215715338,0.011495638838,0.005759269289,0.036195432984,0.002882508533,0.050765437729,0.038115187148,0.059002774939"
log(x+0.0001)/log(2),0.0001,-3,4,-3,3,0,0,0.0,0.028698802005853064,"0.037712379549,0.001153694616,0.000576962632,0.039652831888,0.000288510158,0.052841092371,0.039845152763,0.057519792070"
log(x+0.00001)/log(2),1e-05,-3,5,-3,3,0,0,0.0,0.025749877536309033,"0.015359525563,0.000115410987,0.000057706648,0.039999027924,0.000028853612,0.053048822177,0.040018263473,0.057371409907"
log(x+0.000001)/log(2),1e-06,-3,5,-3,3,0,0,0.0,0.03088552030393786,"0.056568569324,0.000011541514,0.000005770769,0.040033652097,0.000002885387,0.053069596802,0.040035575687,0.057356570851"
log(x+0.0000001)/log(2),1e-07,-3,5,-3,3,0,0,0.0,0.024249983335275435,"0.003496664212,0.000001154156,0.000000577078,0.040037114560,0.000000288539,0.053071674281,0.040037306920,0.057355086937"
log(x+0.000000001)/log(2),1e-09,-3,5,-3,3,0,0,0.0,0.02660683668520309,"0.022352853986,0.000000011542,0.000000005771,0.040037495432,0.000000002885,0.053071902804,0.040037497355,0.057354923706"
log(x+0.0000000001)/log(2),1e-10,-3,6,-3,3,0,0,0.0,0.02765260977888107,"0.030719051126,0.000000001154,0.000000000577,0.040037498894,0.000000000289,0.053071904882,0.040037499086,0.057354922222"
